dsb_sense_id|slownet_synset_id
8284129|eng-30-00024264-n
8284139|eng-30-00024264-n
8284140|eng-30-00024264-n
8297194|eng-30-00024264-n
8300240|eng-30-00024264-n
8300242|eng-30-00024264-n
8284130|eng-30-00024264-n
8297192|eng-30-00024264-n
8300241|eng-30-00024264-n
8300243|eng-30-00024264-n
8257467|eng-30-00024279-v
8262597|eng-30-00024279-v
8262789|eng-30-00024279-v
8257469|eng-30-00024279-v
8262790|eng-30-00024279-v
42538|eng-30-00025559-b
42541|eng-30-00025559-b
8281916|eng-30-00025728-b
8281917|eng-30-00025728-b
8269703|eng-30-00026168-a
8269702|eng-30-00026168-a
8287719|eng-30-00026192-n
8287720|eng-30-00026192-n
8287731|eng-30-00026192-n
8287732|eng-30-00026192-n
5625|eng-30-00026385-v
8242465|eng-30-00026385-v
100630|eng-30-00027384-b
46037|eng-30-00027384-b
8292176|eng-30-00027807-n
8292177|eng-30-00027807-n
8271666|eng-30-00028471-a
8274564|eng-30-00028471-a
8271996|eng-30-00029933-a
8271995|eng-30-00029933-a
8269949|eng-30-00029933-a
8278198|eng-30-00029933-a
8273521|eng-30-00031138-a
8273520|eng-30-00031138-a
8269266|eng-30-00031974-a
8269267|eng-30-00031974-a
8279342|eng-30-00032180-b
8279743|eng-30-00032180-b
8279339|eng-30-00032180-b
8280276|eng-30-00032299-b
8279445|eng-30-00032299-b
8300217|eng-30-00032613-n
8300218|eng-30-00032613-n
8269674|eng-30-00032733-a
8269685|eng-30-00032733-a
18179|eng-30-00032733-a
8271390|eng-30-00032733-a
8269833|eng-30-00032733-a
8271809|eng-30-00032733-a
8269675|eng-30-00032733-a
8276498|eng-30-00032733-a
8273688|eng-30-00032733-a
36907|eng-30-00032733-a
8269837|eng-30-00032733-a
8270380|eng-30-00032733-a
8269340|eng-30-00032733-a
64557|eng-30-00033020-n
90762|eng-30-00033020-n
8259958|eng-30-00033599-v
8259957|eng-30-00033599-v
8259960|eng-30-00033599-v
8298152|eng-30-00033615-n
66353|eng-30-00033615-n
8280910|eng-30-00033663-b
8280899|eng-30-00033663-b
78520|eng-30-00034115-v
78567|eng-30-00034115-v
8291923|eng-30-00034213-n
8291924|eng-30-00034213-n
8272483|eng-30-00034322-a
8272486|eng-30-00034322-a
8272484|eng-30-00034322-a
8272487|eng-30-00034322-a
27719|eng-30-00034322-a
27736|eng-30-00034322-a
53716|eng-30-00034574-n
83254|eng-30-00034574-n
8269266|eng-30-00034710-a
8269267|eng-30-00034710-a
8279655|eng-30-00034945-b
8279650|eng-30-00034945-b
8279649|eng-30-00034945-b
8279654|eng-30-00034945-b
43708|eng-30-00035058-b
8279699|eng-30-00035058-b
45879|eng-30-00035058-b
8279698|eng-30-00035058-b
8279702|eng-30-00035058-b
54121|eng-30-00035189-n
8289951|eng-30-00035189-n
79223|eng-30-00035189-n
8289952|eng-30-00035189-n
8272757|eng-30-00035368-a
8276119|eng-30-00035368-a
41238|eng-30-00035385-b
8279442|eng-30-00035385-b
8279742|eng-30-00035385-b
8177048|eng-30-00035385-b
8279443|eng-30-00035385-b
8279417|eng-30-00035385-b
8281856|eng-30-00035385-b
44625|eng-30-00035385-b
8281857|eng-30-00035385-b
8269266|eng-30-00035465-a
8269267|eng-30-00035465-a
8279417|eng-30-00035491-b
8279416|eng-30-00035491-b
8280909|eng-30-00035718-b
8280897|eng-30-00035718-b
8150644|eng-30-00036061-n
8283626|eng-30-00036061-n
8280898|eng-30-00036291-b
8280897|eng-30-00036291-b
54121|eng-30-00036762-n
79223|eng-30-00036762-n
8279785|eng-30-00036935-b
8279590|eng-30-00036935-b
8273609|eng-30-00036998-a
8273610|eng-30-00036998-a
8269100|eng-30-00037226-b
8279794|eng-30-00037226-b
8309884|eng-30-00038262-n
8309887|eng-30-00038262-n
8309885|eng-30-00038262-n
8309888|eng-30-00038262-n
8269266|eng-30-00038750-a
8269267|eng-30-00038750-a
759|eng-30-00038849-v
2939|eng-30-00038849-v
8262114|eng-30-00038849-v
5831|eng-30-00038849-v
8261856|eng-30-00038849-v
8260793|eng-30-00038849-v
8261858|eng-30-00038849-v
8546|eng-30-00038849-v
8262115|eng-30-00038849-v
8263883|eng-30-00038849-v
8295117|eng-30-00039021-n
8295118|eng-30-00039021-n
8298712|eng-30-00039297-n
8298713|eng-30-00039297-n
8279846|eng-30-00039318-b
8279845|eng-30-00039318-b
8280195|eng-30-00039318-b
8269266|eng-30-00040325-a
8269267|eng-30-00040325-a
8281840|eng-30-00040365-b
8281842|eng-30-00040365-b
46377|eng-30-00040365-b
8281841|eng-30-00040365-b
8282446|eng-30-00040365-b
